,index,name,recipe,ingridients
794,794,Глинтвейн кардинал,"Положи в питчер нарезанную дольку яблока и черносмородиновый джем 8 коктейльных ложек. Добавь пару полосок апельсиновой цедры и по штучке бадьяна, корицы в палочках и гвоздики. Налей яблочный сок 50 мл, красное вино сухое 200 мл и коньяк 20 мл. Помешивая, нагрей, не доводя до кипения. Перелей в чайник. Подавай на подставке со свечкой, чтобы коктейль не остывал","коньяк, красное вино сухое, яблочный сок, яблоко, черносмородиновый джем, корица в палочках, бадьян, гвоздика, апельсиновая цедра"
795,795,Мартини мохитато,"Положи в хайбол мяту 10 листьев, четвертинку лайма и подави мадлером. Наполни хайбол дробленым льдом доверху. Налей сахарный сироп 20 мл, лимончелло 20 мл, сухой вермут 30 мл и белый ром 40 мл . Долей содовую доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась ангостурой биттер 1 дэш и  веточкой мяты","белый ром, сухой вермут, лимончелло, ангостура биттер, сахарный сироп, содовая, лайм, мята, дробленый лед"
796,796,Нот ин ми,"Наполни рокс кубиками льда доверху. Налей в шейкер лаймовый сок 15 мл, вишневый сироп 50 мл, сахарный сироп 15 мл и американский виски 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в рокс. Укрась коктейльной вишней и листьями лайма","американский виски, вишневый сироп, сахарный сироп, лаймовый сок, лаймовые листья, коктейльная вишня красная, лед в кубиках"
797,797,Пенициллин #2,"Наполни рокс кубиками льда доверху. Налей в шейкер лимонный сок 15 мл и имбирный сироп 15 мл. Добавь щепотку соли, сироп агавы 15 мл и односолодовый виски с острова Айла 60 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в бокал. Укрась кружком апельсина","односолодовый виски сострова айла, сироп агавы, имбирный сироп, лимонный сок, апельсин, соль, лед в кубиках"
798,798,Дух '57,"Налей в шейкер лаймовый сок 10 мл, апельсиновый сок 35 мл, мандариновый ликер 15 мл и водку 35 мл. Добавь персиковый биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась дольками карамболы и питайи, апельсиновой цедрой и ананасовым листом на шпажке","водка, мандариновый ликер, персиковый биттер, апельсиновый сок, лаймовый сок, питайя, карамбола, ананасовые листья, апельсиновая цедра, лед в кубиках"
799,799,Все падают,"Налей в стопку кофейный ликер 20 мл. Используя коктейльную ложку, уложи слоями ликер корицы 15 мл и сверхкрепкий ром 15 мл","сверхкрепкий ром, ликер корицы, кофейный ликер"
800,800,Кола и грейпфрутовый ликер,Наполни хайбол кубиками льда доверху. Налей грейпфрутовый ликер красный 50 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой. Укрась маленькой долькой грейпфрута,"грейпфрутовый ликер, кола, грейпфрут, лед в кубиках"
801,801,Ма шери,Положи в охлажденное шампанское блюдце цветок гибискуса и налей сироп 15 мл. Долей просекко доверху,"просекко, гибискус в сиропе"
802,802,Дынный беллини,Положи в стакан для смешивания мякоть 3 кусочков дыни и подави мадлером. Налей медовый сироп 20 мл и просекко 120 мл. Наполни стакан для смешивания кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер и ситечко в охлажденный флюте. Укрась кусочком дыни,"просекко, медовый сироп, дыня, лед в кубиках"
803,803,Крестный отец,Наполни рокс кубиками льда доверху. Налей в бокал ликер амаретто 25 мл и шотландский виски 50 мл . Размешай коктейльной ложкой,"шотландский виски, ликер амаретто, лед в кубиках"
804,804,Над облаками,"Положи в рокс ледяную сферу. Налей в стакан для смешивания инжирный сироп 10 мл, амаро 10 мл и выдержанный ром 50 мл. Добавь лавандовый биттер 3 дэш. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в рокс. Положи в окуриватель стружку с ароматом шоколада и ванили. Помести рокс под колпак и ароматизируй дымом в течение нескольких минут. Укрась дольками инжира на шпажке и веточкой лаванды","выдержанный ром, амаро, лавандовый биттер, инжирный сироп, инжир, лаванда, стружка сароматом шоколада, ледяная сфера, лед в кубиках"
805,805,Мандариновый лимонад,"Положи в бокал для вина нарезанный кружочками мандарин, половинку лайма и подави мадлером. Наполни бокал дробленым льдом доверху. Налей мандариновый сироп 20 мл . Долей содовую доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась двумя кружочками мандарина и веточкой мяты","мандариновый сироп, содовая, лайм, мандарин, мята, дробленый лед"
806,806,Плачущая женщина,"Наполни хайбол кубиками льда доверху. Налей в шейкер лаймовый сок 20 мл, яблочный сок 25 мл и сок маракуйи 25 мл. Добавь абрикосовый ликер 20 мл и золотую текилу 50 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в хайбол. Укрась листьями зеленого базилика","золотая текила, абрикосовый ликер, лаймовый сок, яблочный сок, сок маракуйи, зеленый базилик, лед в кубиках"
807,807,Сын человеческий,Положи в рокс ледяной куб. Налей яблочный ликер зеленый 15 мл и гентиану 10 мл. Добавь сухой вермут 20 мл и шотландский виски 30 мл. Аккуратно размешай коктейльной ложкой,"шотландский виски, сухой вермут, яблочный ликер зеленый, гентиана, ледяной куб"
808,808,Пьяное золото,"Налей в стопку медовый сироп 10 мл и яблочный сок 20 мл. Используя коктейльную ложку, уложи слоями ликер корицы 10 мл и южный комфорт 10 мл","южный комфорт, ликер корицы, медовый сироп, яблочный сок"
809,809,Чапурин,Положи в охлажденный флюте лаймовый сорбет 50 г. Налей просекко доверху и аккуратно размешай коктейльной ложкой,"просекко, лаймовый сорбет"
810,810,Уголь,"Положи ледяной куб в шампанское блюдце. Налей в стакан для смешивания ликер трипл сек 10 мл, односолодовый виски с острова Айла 15 мл и какао ликер коричневый 40 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в шампанское блюдце","односолодовый виски сострова айла, трипл сек, какао ликер коричневый, ледяной куб, лед в кубиках"
811,811,Ураган пунш,"Пятилитровой чаши для пунша хватит приблизительно на 20–25 порций. Наполни чашу кубиками льда на 1/3. Положи внутрь нарезанные на кружки лимон, апельсин и лайм. Налей лаймовый сок 200 мл, гренадин 75 мл, сироп маракуйи 250 мл, белый ром 500 мл и темный ром 500 мл. Добавь апельсиновый сок 1000 мл, ананасовый сок 1000 мл и аккуратно размешай коктейльной ложкой","белый ром, темный ром, сироп маракуйи, гренадин, ананасовый сок, апельсиновый сок, лаймовый сок, лимон, лайм, апельсин, лед в кубиках"
812,812,Дайкири Гарри,Положи в шейкер вишневый джем 2 коктейльных ложки. Налей лаймовый сок 10 мл и домашний ванильный ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце,"домашний ванильный ром, лаймовый сок, вишневый джем, лед в кубиках"
813,813,БерриМиАп,"Наполни слинг дробленым льдом доверху. Положи в питчер мелконарезанную вишню без косточек 30 ягод, палочку корицы и мед 30 мл. Томи на медленном огне, доведя до единой консистенции. Выключи огонь, добавь ликер амаретто 5 мл, лист лайма и размешай коктейльной ложкой. Налей в шейкер получившийся сироп 75 мл, лаймовый сок 10 мл и американский виски 50 мл . Добавь ангостуру биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Досыпь немного дробленого льда. Укрась листом лайма, ягодами черники, ежевики и коктейльной вишней","американский виски, ликер амаретто, ангостура биттер, лаймовый сок, ежевика, черника, вишня, лаймовые листья, мед, корица в палочках, коктейльная вишня красная, дробленый лед, лед в кубиках"
814,814,Водка он зе рокс,Наполни рокс кубиками льда доверху. Налей водку 50 мл. Укрась лимонной цедрой,"водка, лимонная цедра, лед в кубиках"
815,815,Сладкий укус,"Положи в хайбол мяту 10 листьев. Наполни хайбол дробленым льдом доверху. Налей лимонный сок 15 мл, сахарный сироп 20 мл и ванильную водку 50 мл. Размешай коктейльной ложкой и досыпь немного дробленого льда. Укрась кусочком сахара на коктейльной шпажке","домашняя ванильная водка, сахарный сироп, лимонный сок, мята, сахар в кубиках, дробленый лед"
816,816,Матадор,"Наполни рокс кубиками льда доверху. Налей в шейкер апельсиновый сок 20 мл, гренадин 5 мл, ликер мараскино 10 мл, белый вермут 10 мл и шотландский виски 40 мл. Добавь воду из цветков апельсина 5 мл и апельсиновый биттер 1 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Укрась кружком апельсина и коктейльной вишней","шотландский виски, белый вермут, ликер мараскино, апельсиновый биттер, гренадин, апельсиновый сок, вода из цветков апельсина, апельсин, коктейльная вишня красная, лед в кубиках"
817,817,Роял шот,"Положи в стопку ягоду малины. Налей малиновый сироп 20 мл. Ипользуя коктейльную ложку, уложи слой водки 20 мл","водка, малиновый сироп, малина"
818,818,Карловарская осень,"Налей в питчер лимонный сок 10 мл, апельсиновый сок 100 мл, кленовый сироп 5 мл, медовый сироп 15 мл, миндальный сироп 15 мл и светлое пиво 50 мл. Добавь гвоздику 3 шт. и палочку корицы. Помешивая нагрей, не доводя до кипения. Перелей через ситечко в бокал для ирландского кофе. Укрась долькой апельсина, гвоздикой и палочкой корицы","светлое пиво, миндальный сироп, медовый сироп, кленовый сироп, апельсиновый сок, лимонный сок, апельсин, корица в палочках, гвоздика"
819,819,Ревень-ириска сауэр,"Наполни рокс кубиками льда доверху. Налей в шейкер белок перепелиного яйца 25 мл, лимонный сок 30 мл, ирисковый сироп 20 мл, ревеневый ликер 20 мл и темный ром 30 мл. Добавь ангостуру биттер 1 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Укрась половинками кружка лимона","темный ром, ревеневый ликер, ангостура биттер, ирисковый сироп, лимонный сок, белок перепелиного яйца, лимон, лед в кубиках"
820,820,Имбирная граната,"Положи в шейкер дольку корня имбиря, зерна половины граната и подави мадлером. Налей лаймовый сок 10 мл, сахарный сироп 10 мл и водку 60 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась обожженной апельсиновой цедрой","водка, сахарный сироп, лаймовый сок, гранат, корень имбиря, апельсиновая цедра, лед в кубиках"
821,821,Спрайт и яичный ликер,Наполни хайбол кубиками льда доверху. Налей яичный ликер 50 мл. Долей спрайт доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда . Укрась долькой лимона,"яичный ликер, спрайт, лимон, дробленый лед, лед в кубиках"
822,822,Американо,Наполни рокс кубиками льда доверху. Налей красный биттер 50 мл и красный вермут 50 мл. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась апельсиновой цедрой,"красный вермут, красный биттер, содовая, апельсиновая цедра, лед в кубиках"
823,823,Бьянко лемон айс,Выжми и положи в рокс две дольки лимона. Наполни рокс кубиками льда доверху. Налей белый вермут 100 мл и аккуратно размешай коктейльной ложкой,"белый вермут, лимон, лед в кубиках"
824,824,Пряный ром с колой,Наполни хайбол кубиками льда доверху. Налей лаймовый сок 10 мл и пряный ром 50 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой. Укрась 2 кружочками лайма,"пряный ром, лаймовый сок, кола, лайм, лед в кубиках"
825,825,Перевернутый абрикосовый кир,Налей в охлажденный бокал просекко 120 мл. Налей в сифон для сливок белок перепелиного яйца 25 мл и абрикосовый ликер 20 мл. Закрой сифон и взбей 3–4 раза. Укрась коктейль слоем абрикосовых сливок из сифона и веточкой мяты,"абрикосовый ликер, просекко, белок перепелиного яйца"
826,826,Утро в саду,"Положи в шейкер 4 листика базилика и 2 кружка огурца и подави мадлером. Налей лимонный сок 20 мл, медовый сироп 20 мл и белок перепелиного яйца 25 мл. Добавь ботаникал джин 50 мл и тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась листиком базилика и домашним цитрусовым биттером","лондонский сухой джин, домашний цитрусовый биттер, медовый сироп, лимонный сок, белок перепелиного яйца, огурец, зеленый базилик, лед в кубиках"
827,827,Бренди бак,"Наполни коллинз кубиками льда доверху. Налей лимонный сок 15 мл, ликер драй оранж 10 мл и коньяк 40 мл. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Укрась лимонной цедрой","коньяк, ликер драй оранж, лимонный сок, имбирное пиво, лимонная цедра, лед в кубиках"
828,828,Истинная страсть,"Налей в шейкер лимонный сок 10 мл, клюквенный сок 20 мл, сахарный сироп 5 мл, сироп маракуйи 10 мл и белый ром 20 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный флюте. Долей просекко доверху. Укрась коктейльной вишней и апельсиновой цедрой","белый ром, просекко, сироп маракуйи, сахарный сироп, лимонный сок, клюквенный сок, апельсиновая цедра, коктейльная вишня красная, лед в кубиках"
829,829,С Фиделем,"Налей в стопку кофейный ликер 10 мл. Используя коктейльную ложку, уложи слоями белый ром 20 мл, южный комфорт 10 мл и ликер трипл сек 10 мл. Укрась четвертинкой киви. Выпей шот и заверши его киви","белый ром, кофейный ликер, южный комфорт, трипл сек, киви"
830,830,Стратосфера,"Налей в стопку мятный ликер зеленый 20 мл. Используя коктейльную ложку, уложи слоями самбуку 15 мл, ликер трипл сек 10 мл. Добавь лаймовый сок 10 мл. Подожги и быстро выпей через трубочку","самбука классическая, мятный ликер зеленый, трипл сек, лаймовый сок"
831,831,Шерлок Тоунз,"Наполни тикибокал дробленым льдом доверху . Налей в шейкер лимонный сок 30 мл и яблочный сок 80 мл . Добавь сахарный сироп 20 мл и шотландский виски 50 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в тикибокал. Долей имбирное пиво доверху. Укрась шариком кокосового мороженого в вафельном рожке, пучком мяты и ягодами брусники","шотландский виски, сахарный сироп, яблочный сок, лимонный сок, имбирное пиво, кокосовое мороженое, брусника, мята, вафельный рожок, дробленый лед, лед в кубиках"
832,832,Ромовый Манхэттен,Положи ледяной куб в коктейльный бокал. Налей в стакан для смешивания домашний кофейный вермут 25 мл. Добавь домашний кардамоновый биттер 2 дэш и выдержанный ром 50 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в коктейльный бокал. Укрась цветками качим,"выдержанный ром, домашний кофейный вермут, домашний кардамоновый биттер, качим, лед в кубиках, ледяной куб"
833,833,Ву-ву,"Налей в шейкер клюквенный сок 15 мл, персиковый ликер 15 мл и водку 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в стопку","водка, персиковый ликер, клюквенный сок, лед в кубиках"
834,834,Топ скуп,"Налей в шейкер лаймовый сок 10 мл, ананасовый сок 30 мл, красный биттер 5 мл, дынный ликер 10 мл и водку 30 мл. Добавь грейпфрутовый биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась ягодой физалиса","водка, дынный ликер, красный биттер, грейпфрутовый биттер, ананасовый сок, лаймовый сок, физалис, лед в кубиках"
835,835,Черный флип,"Налей в шейкер перепелиные яйца 5 шт., сахарный сироп 15 мл, темное пиво 60 мл и темный ром 45 мл. Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз. Перелей через стрейнер в охлажденный хайбол. Подай на блюдечке с кусочком черного шоколада и мускатным орехом молотым","темный ром, темное пиво, сахарный сироп, желток перепелиного яйца, мускатный орех молотый, черный шоколад, лед в кубиках"
836,836,Темная сторона Луны,Наполни коллинз кубиками льда доверху. Положи в шейкер бамбуковый уголь 3 г. Налей лаймовый сок 15 мл и имбирный сироп 15 мл. Добавь пикон 15 мл и мескаль 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в коллинз. Укрась кружком апельсина,"мескаль, пикон, имбирный сироп, лаймовый сок, апельсин, бамбуковый уголь измельченный, лед в кубиках"
837,837,Я вам не кактус,Налей в стакан для смешивания кленовый сироп 5 мл и ликер фалернум 5 мл. Добавь фернет бранка 10 мл и мескаль 50 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась крафтбумагой на прищепке,"мескаль, фернет бранка, ликер фалернум, кленовый сироп, лед в кубиках"
838,838,Регалия Ионы,Налей в шейкер миндальное молоко 30 мл и сироп пряная тыква 35 мл. Добавь мастиху 20 мл и шотландский виски 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в чашку. Укрась молотой корицей,"шотландский виски, мастиха, сироп пряная тыква, молотая корица, миндальное молоко, лед в кубиках"
839,839,Кайпироска,"Положи в рокс две дольки лайма и подави мадлером. Наполни рокс дробленым льдом доверху. Налей сахарный сироп 20 мл, водку 50 мл и размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась долькой лайма","водка, сахарный сироп, лайм, дробленый лед"
840,840,Веспер,"Налей в стакан для смешивания лилле блан 7,5 мл, водку 15 мл и джин 45 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Проведи по краю бокала лимонной цедрой и укрась ею коктейль","лондонский сухой джин, водка, лилле блан, лимонная цедра, лед в кубиках"
841,841,Цвета осени,"Положи в шейкер четвертинку лайма, дольку апельсина, грейпфрута и подави мадлером. Налей яблочный сок 10 мл, клюквенный сок 10 мл, сироп маракуйи 20 мл и цитрусовую водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в хайбол. Переложи фрукты из шейкера в хайбол. Наполни хайбол дробленым льдом доверху. Укрась кружком грейпфрута","цитрусовая водка, сироп маракуйи, яблочный сок, клюквенный сок, лайм, апельсин, грейпфрут, лед в кубиках, дробленый лед"
842,842,Водка мартини,Налей в стакан для смешивания сухой вермут 15 мл и водку 75 мл . Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась тремя оливками на шпажке,"водка, сухой вермут, оливки, лед в кубиках"
843,843,Возрождение бурбона,"Наполни рокс кубиками льда доверху. Налей в шейкер лимонный сок 30 мл, сахарный сироп 15 мл, черносмородиновый ликер 15 мл и бурбон 60 мл. Добавь ангостуру биттер 1 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Укрась кружком лимона","бурбон, черносмородиновый ликер, ангостура биттер, сахарный сироп, лимонный сок, лимон, лед в кубиках"
844,844,Карибский кофе,Положи в бокал для ирландского кофе кокосовое пюре 6 коктейльных ложек. Налей сироп маракуйи 25 мл . Долей горячий американо 150 мл и размешай коктейльной ложкой. Укрась взбитыми сливками и зернами кофе,"сироп маракуйи, кофе американо, кофе в зернах, взбитые сливки, кокосовое пюре"
845,845,Ирония судьбы,"Сделай на бокале сахарную окаемку. Положи в стакан для смешивания мандариновое пюре 12 коктейльных ложек. Налей медовый сироп 15 мл, ванильную водку 20 мл и просекко 80 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер и ситечко в охлажденный флюте. Укрась долькой мандарина на шпажке","домашняя ванильная водка, просекко, медовый сироп, мандариновое пюре, мандарин, сахарный песок, лед в кубиках"
846,846,Гусеница,Налей в шейкер апельсиновый сок 60 мл и апероль 30 мл. Добавь граппу 15 мл и домашнюю текилу на камеди 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Укрась сахарной ватой,"граппа, домашняя текила на камеди, апероль, апельсиновый сок, сахарная вата, лед в кубиках"
847,847,Мистер Призман,"Положи в хайбол персиковое пюре 6 коктейльных ложек. Налей лимонный сок 5 мл, сахарный сироп 15 мл, херес олоросо 20 мл, амаро 10 мл и обогащенный маслом бурбон 35 мл. Наполни хайбол дробленым льдом. Хорошо размешай с помощью свизл стик. Досыпь немного дробленого льда. Укрась курагой на шпажке и палочкой корицы. Подавай на подносе с лаймовой цедрой, шпажкой и корицей","домашний обогащенный маслом бурбон, амаро, херес олоросо, сахарный сироп, лимонный сок, персиковое пюре, корица в палочках, курага, лаймовая цедра, дробленый лед"
848,848,Беллини без персика,Положи в рокс ледяной куб. Налей в бокал ромашковый ликер 20 мл. Долей просекко доверху. Аккуратно размешай коктейльной ложкой,"ромашковый ликер, просекко, ледяной куб"
849,849,Соленая собака,Сделай на роксе соленую окоемку. Наполни рокс кубиками льда доверху. Налей водку 50 мл. Долей грейпфрутовый сок доверху и аккуратно размешай коктейльной ложкой. Укрась долькой грейпфрута,"водка, грейпфрутовый сок, грейпфрут, соль, лед в кубиках"
850,850,Шелест,"Наполни слинг кубиками льда доверху. Налей в шейкер лимонный сок 15 мл, яблочный сироп желтый 20 мл, водку 20 мл, серебряную текилу 20 мл и белый ром 20 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Долей яблочный сидр доверху и аккуратно размешай коктейльной ложкой. Укрась двумя кружками зеленого яблока и ягодой малины на коктейльной шпажке","белый ром, серебряная текила, водка, яблочный сидр, яблочный сироп желтый, лимонный сок, яблоко, малина, лед в кубиках"
851,851,Чешский глинтвейн,"Налей в питчер лаймовый сок 10 мл, мед 30 мл, красное вино сухое 100 мл и бехеровку 40 мл. Помешивая, нагрей, не доводя до кипения. Перелей в бокал для ирландского кофе и укрась палочкой корицы","бехеровка, красное вино сухое, лаймовый сок, мед, корица в палочках"
852,852,Скрытная леди,"Положи в шейкер абрикосовый джем 5 г и апельсиновый сорбет 10 г. Налей лаймовый сок 20 мл, сироп лимонника 7 мл и саке 20 мл. Добавь домашний мускатный биттер 3 дэш, апельсиновый биттер 3 дэш и водку 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в чашку. Укрась веточкой розмарина и подсушенным кружком лимона","водка, саке, домашний мускатный биттер, апельсиновый биттер, сироп лимонника, лаймовый сок, апельсиновый сорбет, лимон, розмарин, абрикосовый джем, лед в кубиках"
853,853,Гимлет а-ля Моденеса,Положи ледяной куб в шампанское блюдце. Налей в стакан для смешивания домашний кордиал Модена 15 мл и лондонский сухой джин 60 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в шампанское блюдце. Укрась кусочком пармезана,"лондонский сухой джин, домашний кордиал модена, пармезан, лед в кубиках, ледяной куб"
854,854,Ночь в Тунисе,"Налей в шейкер грейпфрутовый сок 10 мл, апельсиновый сок 20 мл, красный вермут 20 мл, абрикосовый ликер 10 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Добавь абсент и подожги. Пока коктейль горит, выжми над ним апельсиновую цедру и насыпь немного молотой корицы. Дождись, когда выгорит абсент, и пей","водка, абсент, красный вермут, абрикосовый ликер, апельсиновый сок, грейпфрутовый сок, молотая корица, апельсиновая цедра, лед в кубиках"
855,855,Завтрак с текилой,"Положи в шейкер апельсиновый джем 1 коктейльную ложку. Налей белок перепелиного яйца 25 мл, лаймовый сок 10 мл, грейпфрутовый сок 20 мл и золотую текилу 20 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный флюте. Украсть ангостурой биттер 2 дэш","золотая текила, ангостура биттер, лаймовый сок, грейпфрутовый сок, белок перепелиного яйца, апельсиновый джем, лед в кубиках"
856,856,Чай доброе утро,"Наполни хайбол кубиками льда доверху. Налей холодный зеленый чай 50 мл, яблочный сок 50 мл и водку 50 мл. Долней спрайт доверху и аккуратно размешай коктейльной ложкой. Укрась маленькими дольками зеленого яблока","водка, яблочный сок, холодный зеленый чай, спрайт, яблоко, лед в кубиках"
857,857,Френч 75,"Налей в шейкер лимонный сок 15 мл, сахарный сироп 20 мл и джин 30 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный флюте. Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась лимонной цедрой и коктейльной вишней","лондонский сухой джин, просекко, сахарный сироп, лимонный сок, лимонная цедра, коктейльная вишня красная, лед в кубиках"
858,858,Шериш коблер,"Наполни бокал для вина кубиками льда. Налей лаймовый сок 10 мл, миндальный сироп 5 мл и домашний вермут на шампиньонах 40 мл. Добавь лондонский сухой джин 20 мл, херес олоросо 40 мл и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась веточкой тимьяна, лимонной травой и кунжутом","лондонский сухой джин, домашний белый вермут на шампиньонах, херес олоросо, миндальный сироп, лаймовый сок, тимьян, лимонная трава, кунжут, дробленый лед, лед в кубиках"
859,859,Висмут,"Налей в шейкер лимонный сок 30 мл, сахарный сироп 15 мл и белок перепелиного яйца 25 мл. Добавь амаро 25 мл и писко 50 мл. Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз . Перелей через стрейнер в охлажденный бокал. Укрась мускатным орехом молотым","писко, амаро, сахарный сироп, лимонный сок, белок перепелиного яйца, мускатный орех молотый, лед в кубиках"
860,860,Аэлита,Наполни бокал для вина льдом. Налей тоник 20 мл и ликер драй оранж 20 мл. Добавь домашний вишневый ликер 20 мл. Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась тремя кружками редьки,"домашний вишневый ликер, ликер драй оранж, просекко, тоник, редька, лед в кубиках"
861,861,Ежевичное настроение,"Положи в рокс очищенную и порезанную четвертинку ананаса и ежевику 3 ягоды. Налей ежевичный сироп 10 мл, кокосовый ликер 30 мл и белый ром 30 мл. Добавь в бокал совок дробленого льда. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой","белый ром, кокосовый ликер, ежевичный сироп, имбирное пиво, ананас, ежевика, дробленый лед"
862,862,Яблочно-имбирный мохито,"Положи в слинг 10 листьев мяты. Наполни слинг дробленым льдом доверху. Налей лаймовый сок 10 мл, сахарный сироп 15 мл, яблочный сок 25 мл и золотой ром 50 мл. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась веточкой мяты и кусочком корня имбиря","золотой ром, сахарный сироп, яблочный сок, лаймовый сок, имбирное пиво, мята, корень имбиря, дробленый лед"
